time,cell_count,cell_type
8.236,0.409,DN
15.403,0.799,DN
26.023,1.226,DN
39.585,1.359,DN
57.826,1.382,DN
70.397,1.404,DN
8.507,3.62963,DP
15.71129,12.44444,DP
24.42717,29.03704,DP
32.87188,38.88889,DP
45.25586,43.55556,DP
70.73472,44.07407,DP
7.95645,2.06642,SP4
15.59093,1.54982,SP4
26.70885,3.69004,SP4
35.85131,5.53506,SP4
44.24068,6.27306,SP4
70.37199,6.64207,SP4
13.80282,0.27574,SP8
22.67606,0.55147,SP8
33.76761,0.99265,SP8
45.59859,1.21324,SP8
69.26056,1.25735,SP8
