time,cell_fraction, cell_type
9,21.14912516,B
12,45.58230352,B
16,21.15619599,B
21,19.136296,B
27,6.864249337,B
34,4.719847307,B
42,3.588930687,B
51,3.091893041,B
61,2.849266575,B
75,1.977752308,B
90,1.613951253,B
110,1.382138995,B
9,24.60,B_upper
12,51.46,B_upper
16,25.94,B_upper
21,23.01,B_upper
27,8.45,B_upper
34,6.32,B_upper
42,5.12,B_upper
51,3.93,B_upper
61,3.41,B_upper
75,2.89,B_upper
90,2.24,B_upper
110,2.53,B_upper
