time,LT0,ST01,ST02
0,1,0,0
0.1,1.004721691737109,9.99580935102848e-4,0.0013662379242124554
0.2,1.0094656601789231,0.001998341635926804,0.005374546853964095
0.30000000000000004,1.0142320102616096,0.0029963089163686616,0.011894311177900022
0.4,1.0190208474110598,0.003993509545906143,0.020801340344100076
0.5,1.023832277548162,0.004989970251033882,0.03197755294043112
0.6000000000000001,1.0286664070911125,0.00598571771599641,0.04531067962601597
0.7000000000000001,1.033523342957733,0.0069807785835194125,0.06069398050584922
0.8,1.0384031925678017,0.007975179455539234,0.07802597624482892
0.9,1.0433060638453948,0.008968946893930676,0.09721019225380613
1,1.0482320652212376,0.009962107421233107,0.11815491531215658
1.1,1.0531813056350674,0.010954687521374877,0.14077296202237766
1.2000000000000002,1.0581538945380067,0.011946713640396107,0.1649814585215317
1.3,1.0631499418949484,0.012938212187169824,0.19070163090243977
1.4000000000000001,1.0681695581869497,0.013929209534121505,0.21785860582397235
1.5,1.0732128544136403,0.01491973201794698,0.24638122081517808
1.6,1.0782799420956382,0.015909805940328838,0.276201843802099
1.7000000000000002,1.083370933276979,0.01689945756865119,0.30725620140889415
1.8,1.088485940527556,0.017888713136712968,0.33948321560683004
1.9000000000000001,1.0936250769455702,0.018877598845439682,0.3728248483053346
2,1.0987884561599928,0.01986614086359368,0.4072259534990712
2.1,1.1039761923330387,0.020854365328482942,0.4426341366037338
2.2,1.109188400162652,0.0218422983466684,0.4789996206311745
2.3000000000000003,1.1144251948850017,0.022829965994669833,0.5162751188713423
2.4000000000000004,1.1196866922769884,0.023817394319670376,0.5544157137648102
2.5,1.1249730086587655,0.024804609340219545,0.5933787416649536
2.6,1.1302842608962689,0.025791637046935007,0.633123683203487
2.7,1.1356205664037593,0.026778503403202866,0.6736120589869953
2.8000000000000003,1.1409820431463769,0.027765234345876688,0.7148073303653256
2.9000000000000004,1.146368809642706,0.028751855785975177,0.7566748050253084
3,1.151780984967355,0.029738393609378556,0.799181547175249
3.1,1.157218688753543,0.03072487367752369,0.8422962920970442
3.2,1.1626820411957026,0.031711321828097855,0.8859893648536132
3.3000000000000003,1.1681711630520932,0.032697763875731395,0.9302326029496671
3.4000000000000004,1.1736861756474255,0.03368422561268902,0.9749992827536208
3.5,1.1792272008754991,0.03467073280955998,1.0202640494978898
3.6,1.1847943612018519,0.03565731121594704,1.0660028506836474
3.7,1.1903877796664215,0.03664398656115429,1.1121928727242436
3.8000000000000003,1.1960075798862184,0.03763078455487372,1.1588124806703561
3.9000000000000004,1.2016538860580133,0.03861773088787079,1.2058411608671669
4,1.2073268229610334,0.03960485123266878,1.2532594663995484
4.1000000000000005,1.213026515959674,0.040592171244232124,1.3010489651923
4.2,1.218753091006222,0.04157971656064861,1.3491921906337196
4.3,1.2245066746435904,0.04256751280381053,1.3976725946017046
4.4,1.230287394008067,0.04355558558009482,1.446474502778615
4.5,1.2360953768320742,0.04454396048104212,1.495583072128662
4.6000000000000005,1.2419307514469429,0.04553266308403493,1.5449842504572269
4.7,1.2477936467856978,0.04652171895297463,1.594664737932741
4.800000000000001,1.2536841923858573,0.04751115363895769,1.6446119504786376
4.9,1.2596025183922432,0.04850099268095081,1.6948139849485
5,1.2655487555598062,0.049491261606465185,1.7452595859956404
5.1000000000000005,1.2715230352564626,0.05048198593222988,1.7959381145553195
5.2,1.277525489465945,0.05147319116486422,1.8468395178590657
5.300000000000001,1.2835562507906644,0.0524649028015494,1.8979543009110023
5.4,1.2896154524545884,0.05345714633069914,1.9492734993497154
5.5,1.2957032283061294,0.05444994723262962,2.000788653633964
5.6000000000000005,1.3018197128210467,0.05544333098022848,2.0524917844826325
5.7,1.307965041105364,0.05643732303962303,2.1043753695104326
5.800000000000001,1.3141393488982975,0.057431948870847745,2.156432321003034
5.9,1.3203427725751995,0.058427233928510874,2.2086559647726003
6,1.3265754491505126,0.059423203662460435,2.261040020042641
6.1000000000000005,1.3328375162807424,0.060419883518449354,2.3135785803140876
6.2,1.339129112267437,0.06141729893879989,2.3662660951622225
6.300000000000001,1.3454503760601868,0.06241547536306749,2.4190973529221402
6.4,1.3518014472596334,0.0634144382287038,2.47206746421163
6.5,1.3581824661204938,0.06441421297171908,2.52517184625322
6.6000000000000005,1.3645935735545989,0.06541482502734404,2.5784062079921104
6.7,1.371034911133945,0.06641629983069086,2.6317665358957374
6.800000000000001,1.3775066210937594,0.06741866281741381,2.68524908046489
6.9,1.3840088463355804,0.0684219394243691,2.738850343416591
7,1.390541730430351,0.06942615509027428,2.7925670654578387
7.1000000000000005,1.3971054176215267,0.07043133525636701,2.8463962146860737
7.2,1.4037000528281975,0.07143750536706327,2.900334975543208
7.300000000000001,1.4103257816482246,0.07244469087061509,2.9543807383041027
7.4,1.41698275036139,0.07345291721976774,3.0085310890908623
7.5,1.4236711059325624,0.07446220987241643,3.062783800356809
7.6000000000000005,1.430390996014876,0.07547259429226261,3.117136821850747
7.7,1.4371425689529238,0.07648409594946957,3.171588272017261
7.800000000000001,1.4439259737859673,0.07749674032131801,3.2261364298074904
7.9,1.450741360251158,0.07851055289286067,3.280779726903365
8,1.4575888787867761,0.07952555915757706,3.335516740314575
8.1,1.4644686805354818,0.08054178461802747,3.3903461853370964
8.200000000000001,1.4713809173475836,0.08155925478650664,3.4452669088578554
8.3,1.4783257417843187,0.08257799518569718,3.5002778829851544
8.4,1.485303307121152,0.08359803134932269,3.555378198991314
8.5,1.492313767351086,0.08461938882280025,3.6105670615511167
8.6,1.499357277187989,0.08564209316389305,3.665843783261719
