month,HbAT87Q
2.001288061,0.319879873
2.043911158,0.963118071
2.044965026,1.226275059
2.085831677,1.430918277
2.008782232,2.191218457
2.012997703,3.243846411
1.978102969,4.530426128
2.945670704,6.137781161
3.025413368,6.049993284
6.038421402,8.415823171
5.997086365,8.094221292
11.88071319,7.270447963
9.000843783,8.150117613
12.20811478,9.024552364
18.05391946,8.756367118
18.09701094,9.516563978
21.05966752,9.309337751
21.17641265,8.461284134
24.02431473,9.599185835
23.89738221,7.903388564
5.985259627,5.141015088
2.895904725,3.710923374
2.892040543,2.746014417
3.091689942,2.599643889
5.899662142,3.766819696
6.022847578,4.526947675
5.97565772,2.743362527
9.186441612,4.49498724
8.982108356,3.471771152
3.208669268,1.810069603
11.90495215,3.323058696
14.95086427,3.905234554
18.0329592,3.522467015
8.951077804,5.723259827
11.99933186,6.890228992
15.00063025,6.332092341
23.72829497,5.681311755
17.72066304,5.540279447
11.91232922,5.165157615
11.91045568,4.697322969
14.95601652,5.191779831
17.91890728,5.043032935
18.03846273,4.896731288
21.04069789,4.572511959
29.77140712,4.681962674
29.81543537,5.676076857
35.90140481,5.378445304
