month,HbAT87Q
3.030682707,7.365778226
2.023653477,5.90465596
2.097424223,4.32564515
3.066982597,6.430074494
2.987942513,6.693300363
4.389118298,6.575136297
5.99333928,7.158551999
9.154942674,6.629517253
11.9620952,7.592015402
14.96421327,7.238556408
17.96984423,7.762287375
20.85381201,7.906006013
24.09468968,7.172224729
36.07283397,8.18531542
35.95960173,9.910558998
24.10604803,10.00847227
21.0207915,9.601768845
17.77967964,10.2770708
14.73353332,9.63641561
8.844988445,9.232122993
5.923198523,9.643992437
4.277993794,8.826693851
11.84792619,9.083341656
15.00859281,8.320389587
17.85181103,8.288704672
