time_days,BrdUfrac,Bcelltype
0.03827751196172269,0.03037237362180134,immatureB
0.5933014354066986,0.2990326607031413,immatureB
1.2057416267942584,0.5849906386519659,immatureB
2.1626794258373203,0.7138651965883086,immatureB
3.4449760765550237,0.7552527563969211,immatureB
7.0047846889952154,0.7494487206157685,immatureB
0.0954866345743941,0.0034601428556576552,maturecircul
0.5160270739543122,0.06615859681226022,maturecircul
1.4160800989800464,0.2683856478930349,maturecircul
2.4662667262764977,0.3762239943439971,maturecircul
4.505921127873485, 0.4417088614175356,maturecircul
7.002547280647942, 0.5000072779447082,maturecircul
1.135,0.070,transitionalB
2.475,0.203,transitionalB
3.665,0.301,transitionalB
5.387,0.399,transitionalB
6.921,0.473,transitionalB
1.790,0.03938,splenicmatureB
4.004,0.1397,splenicmatureB
6.808,0.2538,splenicmatureB

